trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,6,8,16,16,0.2
2,22,8,8,8,0.1
3,37,16,16,8,0.2
4,5,16,16,16,0.3
5,32,16,16,16,0.2
6,23,8,16,16,0.2
7,40,16,16,8,0.3
8,9,16,8,16,0.1
9,45,16,8,16,0.3
10,40,8,16,16,0.3
11,34,16,16,8,0.1
12,33,16,8,8,0.1
13,7,8,16,8,0.3
14,33,8,16,8,0.1
15,38,8,16,8,0.3
16,45,8,8,16,0.3
17,29,8,8,16,0.2
18,36,16,8,8,0.3
19,49,8,8,16,0.3
20,20,16,8,8,0.1
21,34,8,16,8,0.2
22,50,8,16,8,0.1
23,50,16,8,8,0.2
24,44,8,8,16,0.2
25,40,16,8,16,0.3
26,30,8,8,16,0.1
27,23,16,8,16,0.3
28,33,8,16,8,0.2
29,46,8,16,16,0.2
30,50,16,16,16,0.1
31,39,16,16,16,0.1
32,37,8,8,8,0.2
33,47,16,8,16,0.1
34,37,16,16,16,0.1
35,5,16,8,16,0.2
36,44,16,16,8,0.3
37,29,16,16,8,0.3
38,9,16,8,16,0.2
39,16,8,8,8,0.2
40,20,8,16,8,0.3
41,41,16,8,16,0.3
42,39,8,16,8,0.3
43,21,8,16,8,0.2
44,10,16,8,16,0.2
45,47,8,16,16,0.2
46,8,8,16,16,0.2
47,17,8,8,16,0.1
48,21,8,8,16,0.2
49,47,8,16,8,0.1
