trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,27,16,16,8,0.1
2,35,16,16,8,0.1
3,44,8,16,8,0.3
4,25,16,8,16,0.3
5,46,8,8,16,0.3
6,49,8,16,8,0.2
7,50,8,8,8,0.1
8,21,8,8,16,0.3
9,24,16,16,8,0.2
10,49,8,16,16,0.2
11,35,16,8,16,0.3
12,12,16,8,8,0.3
13,16,8,8,8,0.2
14,32,16,16,8,0.1
15,39,16,16,16,0.3
16,6,8,16,8,0.2
17,6,8,8,16,0.3
18,8,8,8,8,0.3
19,38,8,8,16,0.2
20,25,16,8,8,0.3
21,7,8,16,16,0.1
22,15,8,16,16,0.2
23,14,16,16,8,0.3
24,25,16,16,8,0.3
25,37,8,8,16,0.3
26,40,8,16,8,0.3
27,44,16,16,8,0.3
28,41,16,8,16,0.1
29,38,16,8,8,0.3
30,44,16,8,8,0.2
31,25,8,8,8,0.1
32,7,8,8,16,0.3
33,50,8,8,16,0.1
34,31,8,8,8,0.2
35,27,16,8,16,0.3
36,20,16,16,8,0.1
37,9,8,16,8,0.2
38,47,8,8,16,0.2
39,37,16,16,8,0.3
40,44,8,16,16,0.2
41,14,8,16,8,0.3
42,37,16,8,8,0.2
43,8,16,16,16,0.2
44,31,8,16,16,0.1
45,20,8,8,8,0.1
46,50,16,16,8,0.1
47,12,8,16,16,0.1
48,13,16,16,16,0.3
49,26,8,16,8,0.3
