trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,41,16,16,16,0.2
2,12,16,16,16,0.3
3,33,16,8,16,0.2
4,18,16,16,16,0.1
5,17,8,8,8,0.1
6,21,8,16,16,0.2
7,42,16,8,16,0.1
8,48,8,8,8,0.1
9,43,16,16,8,0.2
10,41,8,8,16,0.2
11,39,8,8,8,0.1
12,20,8,16,8,0.1
13,30,8,16,16,0.1
14,18,8,8,16,0.2
15,30,8,8,16,0.1
16,9,8,16,8,0.2
17,22,8,16,8,0.2
18,36,16,8,8,0.2
19,19,16,8,16,0.3
20,17,16,8,16,0.3
21,37,8,16,16,0.1
22,6,16,16,8,0.2
23,22,8,8,8,0.2
24,22,16,16,16,0.3
25,12,8,16,8,0.1
26,11,8,8,8,0.1
27,27,16,16,16,0.1
28,21,8,16,16,0.3
29,28,8,8,8,0.3
30,31,8,8,16,0.3
31,30,16,16,8,0.1
32,5,8,16,16,0.2
33,14,8,8,16,0.3
34,48,8,16,16,0.2
35,8,8,8,16,0.1
36,32,16,16,16,0.1
37,34,16,16,8,0.3
38,16,16,8,8,0.3
39,33,16,16,16,0.3
40,17,8,16,16,0.1
41,5,8,16,8,0.1
42,36,8,8,16,0.2
43,44,8,16,16,0.2
44,16,16,16,16,0.2
45,38,8,8,16,0.1
46,49,16,16,16,0.2
47,16,8,8,16,0.2
48,33,8,16,8,0.3
49,13,16,16,16,0.3
