trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,19,8,8,16,0.3
2,50,16,8,16,0.3
3,9,8,16,16,0.2
4,34,8,8,16,0.1
5,19,16,16,8,0.3
6,9,8,16,16,0.1
7,9,8,8,16,0.1
8,37,8,16,16,0.1
9,36,16,16,16,0.2
10,28,16,8,16,0.1
11,47,16,8,16,0.1
12,43,8,8,8,0.1
13,30,8,16,16,0.3
14,37,8,8,16,0.3
15,8,16,16,8,0.3
16,39,16,8,16,0.3
17,37,16,8,16,0.2
18,49,16,16,16,0.3
19,47,8,8,16,0.1
20,36,16,8,16,0.2
21,10,8,8,8,0.2
22,9,16,16,16,0.3
23,36,16,8,8,0.1
24,32,8,16,8,0.3
25,31,8,8,8,0.3
26,29,8,8,16,0.1
27,20,8,8,16,0.1
28,36,16,16,8,0.2
29,48,16,8,8,0.2
30,13,16,8,16,0.2
31,28,8,16,8,0.2
32,37,16,16,8,0.3
33,14,16,8,16,0.3
34,26,8,8,8,0.1
35,5,16,16,16,0.1
36,17,8,8,8,0.3
37,34,16,8,8,0.3
38,27,8,8,16,0.1
39,11,16,16,8,0.2
40,46,16,8,8,0.1
41,49,8,16,16,0.2
42,8,8,8,16,0.1
43,10,8,16,16,0.2
44,35,8,16,16,0.3
45,31,8,8,16,0.1
46,20,16,16,8,0.3
47,8,16,8,8,0.1
48,37,8,8,16,0.1
49,11,16,16,8,0.3
