trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,31,16,16,8,0.2
2,35,8,16,8,0.2
3,6,16,8,8,0.3
4,25,16,16,8,0.3
5,34,8,16,8,0.3
6,28,8,16,8,0.3
7,39,8,8,8,0.2
8,47,8,8,8,0.3
9,38,16,8,8,0.3
10,9,8,8,8,0.3
11,32,16,16,16,0.2
12,34,8,8,8,0.1
13,46,8,16,16,0.1
14,47,16,8,16,0.1
15,40,16,8,16,0.3
16,41,8,16,16,0.2
17,30,8,8,8,0.3
18,36,8,16,8,0.1
19,13,16,8,16,0.2
20,19,16,8,16,0.3
21,17,16,8,16,0.3
22,14,8,8,8,0.1
23,48,8,16,8,0.3
24,14,16,16,8,0.1
25,37,16,8,8,0.3
26,38,16,16,16,0.1
27,6,8,8,16,0.2
28,45,16,16,16,0.2
29,33,16,16,16,0.1
30,7,16,16,8,0.1
31,5,8,8,16,0.3
32,26,16,16,8,0.3
33,11,8,16,16,0.1
34,34,16,8,8,0.3
35,10,16,16,16,0.3
36,35,16,8,16,0.3
37,44,8,16,8,0.1
38,39,8,16,16,0.2
39,48,8,8,16,0.2
40,6,16,16,8,0.2
41,42,16,8,8,0.2
42,19,16,16,16,0.1
43,25,16,16,16,0.1
44,42,16,16,8,0.1
45,36,8,16,8,0.2
46,13,16,8,8,0.3
47,11,8,8,16,0.1
48,39,16,16,16,0.2
49,38,8,8,8,0.3
