trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,19,8,16,8,0.2
2,14,16,16,8,0.3
3,47,16,16,16,0.2
4,26,16,16,8,0.3
5,34,8,16,16,0.1
6,14,16,8,16,0.3
7,50,16,8,8,0.2
8,14,8,16,8,0.1
9,43,8,8,8,0.2
10,21,8,16,16,0.1
11,28,8,8,16,0.3
12,8,16,16,16,0.2
13,39,16,16,16,0.2
14,28,16,16,8,0.1
15,23,8,8,16,0.2
16,27,8,16,8,0.2
17,37,8,16,16,0.1
18,47,16,16,8,0.2
19,34,8,16,16,0.2
20,15,8,8,16,0.2
21,49,16,8,8,0.1
22,8,8,8,16,0.3
23,6,8,16,8,0.1
24,11,16,8,8,0.3
25,37,16,8,16,0.1
26,32,16,8,16,0.3
27,5,8,16,16,0.2
28,39,8,16,8,0.2
29,9,8,8,8,0.1
30,39,16,8,16,0.1
31,23,16,16,8,0.3
32,29,8,16,8,0.1
33,22,8,16,16,0.3
34,41,8,8,16,0.3
35,11,16,8,16,0.2
36,33,8,8,16,0.1
37,42,16,16,8,0.1
38,24,8,8,8,0.1
39,14,8,8,16,0.3
40,45,8,8,16,0.1
41,8,16,16,8,0.2
42,6,8,8,8,0.3
43,38,16,8,16,0.1
44,42,16,16,16,0.2
45,32,16,16,16,0.2
46,24,16,16,8,0.3
47,41,16,8,16,0.1
48,45,8,16,8,0.3
49,40,8,16,16,0.3
