trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,50,8,16,16,0.1
2,29,8,8,16,0.2
3,16,8,8,16,0.1
4,44,8,8,8,0.1
5,18,16,8,8,0.3
6,24,8,8,16,0.3
7,6,16,16,8,0.3
8,50,16,16,8,0.3
9,17,8,16,8,0.3
10,43,16,16,8,0.1
11,41,16,8,16,0.2
12,20,8,16,16,0.3
13,6,8,8,8,0.1
14,11,16,8,16,0.1
15,9,8,16,16,0.2
16,47,8,8,16,0.1
17,21,8,8,8,0.3
18,27,16,8,8,0.3
19,7,8,8,8,0.3
20,40,8,16,16,0.3
21,38,8,8,8,0.3
22,38,8,16,8,0.1
23,39,8,16,16,0.1
24,50,8,16,8,0.3
25,15,16,8,8,0.3
26,19,16,8,16,0.3
27,50,16,8,16,0.1
28,21,16,8,16,0.3
29,21,16,16,8,0.2
30,22,16,8,8,0.3
31,6,16,8,8,0.2
32,40,16,8,8,0.3
33,33,8,8,8,0.1
34,44,16,16,8,0.2
35,19,8,8,16,0.2
36,47,16,16,8,0.1
37,45,8,16,8,0.1
38,13,8,16,8,0.2
39,25,8,16,16,0.2
40,13,8,16,8,0.1
41,15,8,16,16,0.3
42,44,8,8,16,0.2
43,47,8,16,8,0.3
44,31,8,16,8,0.2
45,37,8,16,16,0.3
46,26,16,8,8,0.2
47,11,8,16,8,0.2
48,27,16,8,16,0.1
49,42,8,16,8,0.2
