trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,22,16,16,16,0.1
2,19,8,8,8,0.3
3,7,8,8,16,0.2
4,17,16,8,16,0.2
5,38,16,8,8,0.1
6,31,16,8,8,0.2
7,41,16,16,16,0.1
8,42,8,16,8,0.2
9,37,16,16,16,0.1
10,12,16,16,16,0.2
11,10,16,16,8,0.1
12,23,8,16,16,0.1
13,46,8,8,8,0.2
14,8,8,8,16,0.2
15,26,16,8,16,0.2
16,29,16,16,8,0.1
17,30,16,16,16,0.1
18,30,8,16,16,0.2
19,40,8,16,16,0.2
20,32,8,8,16,0.2
21,33,8,16,8,0.3
22,5,8,16,8,0.3
23,5,8,8,8,0.1
24,18,8,8,16,0.2
25,21,8,16,16,0.3
26,15,8,8,8,0.2
27,11,8,8,8,0.1
28,25,16,16,8,0.3
29,31,16,16,8,0.2
30,30,8,8,8,0.2
31,45,8,8,8,0.1
32,19,8,16,8,0.1
33,21,8,8,16,0.2
34,48,8,8,8,0.2
35,33,8,8,16,0.3
36,21,8,8,8,0.3
37,14,16,16,8,0.2
38,41,8,16,8,0.3
39,14,8,8,16,0.2
40,7,16,8,16,0.3
41,47,8,8,16,0.1
42,20,8,16,8,0.3
43,39,16,8,16,0.1
44,12,8,16,16,0.2
45,49,8,16,8,0.2
46,43,8,8,16,0.3
47,33,16,8,8,0.1
48,19,8,16,16,0.3
49,42,16,16,8,0.2
