trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,34,16,16,16,0.2
2,9,8,8,16,0.3
3,5,16,8,8,0.1
4,33,8,16,16,0.2
5,29,8,8,8,0.3
6,23,16,16,8,0.3
7,45,8,16,8,0.1
8,11,16,8,8,0.3
9,40,8,16,16,0.2
10,5,8,16,8,0.2
11,18,8,16,16,0.1
12,15,8,8,16,0.1
13,33,16,16,8,0.1
14,45,16,16,8,0.3
15,35,8,16,8,0.1
16,5,16,8,16,0.1
17,24,16,8,8,0.2
18,18,8,16,8,0.3
19,28,16,8,16,0.2
20,23,8,8,8,0.1
21,49,16,16,8,0.1
22,43,8,8,8,0.3
23,9,8,8,8,0.2
24,15,8,16,8,0.1
25,35,16,8,16,0.3
26,19,16,8,16,0.3
27,31,16,8,8,0.2
28,46,8,16,16,0.1
29,30,8,8,8,0.3
30,21,8,8,16,0.1
31,6,16,16,16,0.1
32,10,8,8,8,0.2
33,47,8,16,8,0.2
34,21,8,8,8,0.1
35,38,16,8,16,0.2
36,30,16,16,8,0.2
37,45,16,16,8,0.1
38,22,16,8,16,0.2
39,42,8,16,8,0.1
40,49,16,16,8,0.3
41,30,16,8,8,0.3
42,42,8,8,8,0.2
43,30,8,16,16,0.3
44,15,16,8,16,0.3
45,50,16,16,8,0.1
46,27,8,16,8,0.3
47,15,16,8,16,0.1
48,7,8,16,16,0.2
49,50,8,16,16,0.1
