trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,8,16,16,8,0.3
2,17,16,8,16,0.2
3,28,8,16,16,0.3
4,24,8,16,16,0.1
5,22,8,8,8,0.3
6,10,8,16,8,0.1
7,38,16,8,8,0.3
8,10,16,8,8,0.1
9,38,16,8,8,0.1
10,27,8,8,8,0.3
11,31,16,16,8,0.1
12,46,8,8,8,0.3
13,19,8,16,16,0.2
14,23,8,16,16,0.2
15,27,16,8,16,0.3
16,23,8,8,16,0.3
17,23,8,16,8,0.3
18,26,16,8,8,0.1
19,23,8,16,8,0.2
20,35,16,16,16,0.3
21,33,8,8,16,0.2
22,24,8,8,16,0.3
23,5,8,8,8,0.1
24,29,16,8,16,0.1
25,48,16,8,16,0.1
26,39,16,16,8,0.1
27,32,16,16,16,0.1
28,37,16,16,16,0.1
29,49,8,16,16,0.2
30,7,8,8,8,0.2
31,23,16,8,8,0.2
32,28,8,16,16,0.1
33,40,8,16,8,0.2
34,6,8,16,16,0.2
35,43,16,8,8,0.3
36,31,16,8,8,0.3
37,7,8,16,16,0.2
38,10,16,16,8,0.3
39,5,16,16,8,0.3
40,36,8,8,8,0.2
41,9,16,8,8,0.1
42,19,8,16,16,0.3
43,7,16,8,8,0.1
44,7,16,8,8,0.2
45,11,8,16,16,0.1
46,24,16,8,16,0.3
47,13,8,16,8,0.1
48,21,8,16,8,0.2
49,47,8,8,8,0.1
