trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,40,16,16,16,0.3
2,50,8,8,8,0.3
3,22,8,16,16,0.1
4,49,8,8,8,0.1
5,16,8,16,8,0.1
6,13,16,8,8,0.1
7,19,8,8,16,0.3
8,25,16,16,8,0.1
9,41,8,8,8,0.3
10,10,8,16,8,0.3
11,31,16,16,16,0.3
12,10,8,8,16,0.2
13,29,8,16,16,0.1
14,17,8,16,8,0.3
15,5,8,16,8,0.3
16,11,8,8,8,0.2
17,34,16,16,16,0.1
18,50,16,16,16,0.1
19,41,16,16,8,0.1
20,5,16,8,8,0.1
21,19,16,16,8,0.1
22,38,8,16,16,0.1
23,38,8,16,8,0.1
24,39,16,8,16,0.1
25,45,8,16,8,0.1
26,33,16,8,16,0.2
27,20,8,16,16,0.3
28,18,8,16,16,0.2
29,18,8,8,16,0.2
30,13,16,8,16,0.1
31,35,8,8,8,0.3
32,38,8,8,16,0.2
33,31,16,16,8,0.2
34,39,8,8,8,0.2
35,46,8,16,16,0.2
36,8,8,16,8,0.2
37,15,8,16,16,0.2
38,14,8,8,16,0.2
39,42,8,16,8,0.1
40,21,16,16,8,0.2
41,13,8,16,8,0.2
42,40,8,8,16,0.2
43,47,8,16,8,0.2
44,28,16,16,8,0.2
45,43,8,8,16,0.2
46,17,16,16,16,0.1
47,10,16,16,16,0.2
48,12,8,8,8,0.3
49,38,16,16,16,0.2
