trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,10,8,8,16,0.1
2,46,16,16,16,0.3
3,42,8,8,8,0.2
4,10,16,8,16,0.2
5,16,8,8,16,0.2
6,7,8,16,8,0.3
7,15,8,16,8,0.2
8,21,8,16,8,0.3
9,47,16,8,16,0.3
10,48,8,8,16,0.1
11,34,8,16,16,0.2
12,16,16,8,8,0.3
13,46,16,8,16,0.1
14,29,8,16,16,0.2
15,12,8,8,8,0.1
16,35,16,16,8,0.1
17,7,8,8,16,0.2
18,45,8,8,16,0.2
19,11,8,16,8,0.1
20,41,16,8,16,0.3
21,47,8,8,8,0.3
22,12,16,16,8,0.1
23,27,8,16,8,0.1
24,14,16,16,16,0.2
25,21,16,16,16,0.2
26,17,8,16,8,0.2
27,43,16,8,16,0.1
28,37,8,8,8,0.2
29,16,16,16,16,0.3
30,26,8,16,8,0.1
31,32,16,8,16,0.2
32,5,16,16,16,0.3
33,25,16,8,8,0.2
34,48,8,8,8,0.1
35,13,8,8,8,0.2
36,27,16,16,8,0.1
37,32,8,16,8,0.3
38,21,8,16,8,0.1
39,22,16,16,8,0.1
40,19,8,8,8,0.2
41,33,16,16,8,0.2
42,20,16,16,16,0.2
43,27,8,8,8,0.2
44,29,8,8,8,0.2
45,40,8,16,8,0.1
46,48,16,8,16,0.1
47,47,16,16,16,0.2
48,24,8,8,16,0.3
49,9,16,16,16,0.2
