trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,33,16,16,8,0.1
2,34,8,16,16,0.3
3,38,16,8,8,0.2
4,36,8,16,8,0.3
5,21,16,8,16,0.3
6,34,16,8,8,0.3
7,14,8,16,8,0.2
8,42,8,16,16,0.2
9,14,16,8,8,0.2
10,12,8,16,8,0.3
11,6,8,8,16,0.3
12,47,8,16,16,0.1
13,19,16,16,8,0.2
14,21,16,16,8,0.2
15,23,8,8,8,0.1
16,13,8,8,16,0.3
17,47,8,16,8,0.3
18,48,8,16,8,0.3
19,19,16,16,8,0.3
20,29,8,16,16,0.2
21,43,16,8,8,0.2
22,5,8,16,16,0.2
23,19,8,16,8,0.3
24,46,8,8,8,0.3
25,30,16,16,8,0.1
26,9,8,8,16,0.3
27,34,8,8,16,0.1
28,46,16,16,16,0.2
29,47,8,16,8,0.2
30,10,16,8,16,0.3
31,9,8,16,16,0.2
32,6,8,16,8,0.3
33,32,16,8,8,0.3
34,23,8,16,8,0.1
35,16,8,8,8,0.3
36,47,8,16,8,0.1
37,16,16,8,16,0.2
38,19,16,8,16,0.2
39,9,16,8,8,0.1
40,16,16,8,8,0.2
41,5,16,16,8,0.1
42,25,8,16,8,0.3
43,44,16,16,16,0.3
44,11,8,16,16,0.1
45,8,8,8,16,0.2
46,14,8,8,8,0.1
47,40,16,8,16,0.2
48,23,8,16,8,0.2
49,41,8,16,8,0.1
